2015-11-25
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK003988 中国银行 2.846 3.995 0.713 0.136 2.774 
HK000939 建设银行 4.422 5.566 0.794 0.180 2.800 
HK001398 工商银行 3.869 4.730 0.818 0.180 2.978 
SH601169 北京银行 9.150 8.782 1.042 0.219 3.711 
HK003968 招商银行 15.246 14.232 1.071 0.223 3.791 
SH601166 兴业银行 15.490 14.829 1.045 0.206 3.930 
SH601398 工商银行 4.580 4.730 0.968 0.180 3.999 
SH600000 浦发银行 18.530 14.968 1.238 0.251 4.055 
SH601288 农业银行 3.130 3.407 0.919 0.158 4.157 
SH601009 南京银行 16.740 13.562 1.234 0.237 4.242 
SH601939 建设银行 5.690 5.566 1.022 0.180 4.325 
SH601818 光大银行 4.220 4.281 0.986 0.169 4.336 
SH600036 招商银行 17.040 14.232 1.197 0.223 4.344 
SH600016 民生银行 8.460 8.173 1.035 0.172 4.585 
SZ002142 宁波银行 14.160 10.182 1.391 0.240 4.751 
SH601328 交通银行 6.220 6.896 0.902 0.132 4.768 
SH601998 中信银行 7.050 6.439 1.095 0.175 4.855 
SH600015 华夏银行 10.820 10.672 1.014 0.157 4.855 
SZ000001 平安银行 11.730 11.218 1.046 0.150 5.282 
SH601988 中国银行 3.950 3.995 0.989 0.136 5.340

2015-11-30
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.068 6.447 0.631 0.175 1.441 
HK006818 光大银行 2.896 4.285 0.676 0.169 1.925 
HK003328 交通银行 4.506 6.901 0.653 0.132 2.156 
HK003618 重庆农商 3.788 4.997 0.758 0.184 2.463 
HK001288 农业银行 2.451 3.409 0.719 0.158 2.481 
HK001988 民生银行 6.181 8.181 0.756 0.172 2.601 
HK000939 建设银行 4.390 5.572 0.788 0.180 2.750 
HK003988 中国银行 2.847 3.999 0.712 0.136 2.768 
HK001398 工商银行 3.829 4.737 0.808 0.180 2.907 
SH601169 北京银行 9.160 8.796 1.041 0.219 3.709 
HK003968 招商银行 15.052 14.252 1.056 0.223 3.720 
SH600000 浦发银行 17.720 14.996 1.182 0.251 3.847 
SH601166 兴业银行 15.450 14.847 1.041 0.206 3.910 
SH601398 工商银行 4.580 4.737 0.967 0.180 3.991 
SH601288 农业银行 3.130 3.409 0.918 0.158 4.152 
SH601009 南京银行 16.450 13.583 1.211 0.237 4.152 
SH600036 招商银行 17.000 14.252 1.193 0.223 4.326 
SH601818 光大银行 4.240 4.285 0.989 0.169 4.360 
SH601939 建设银行 5.750 5.572 1.032 0.180 4.382 
SZ002142 宁波银行 13.900 10.200 1.363 0.240 4.657 
SH600016 民生银行 8.570 8.181 1.048 0.172 4.661 
SH600015 华夏银行 10.830 10.681 1.014 0.157 4.856 
SH601998 中信银行 7.070 6.447 1.097 0.175 4.865 
SH601328 交通银行 6.360 6.901 0.922 0.132 4.942 
SZ000001 平安银行 11.590 11.231 1.032 0.150 5.188 
SH601988 中国银行 4.070 3.999 1.018 0.136 5.567

2015-12-01
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.086 6.450 0.634 0.175 1.466 
HK006818 光大银行 2.914 4.287 0.680 0.169 1.962 
HK003328 交通银行 4.598 6.903 0.666 0.132 2.318 
HK003618 重庆农商 3.797 4.999 0.760 0.184 2.475 
HK001288 农业银行 2.485 3.410 0.729 0.158 2.573 
HK001988 民生银行 6.208 8.183 0.759 0.172 2.627 
HK000939 建设银行 4.458 5.574 0.800 0.180 2.841 
HK003988 中国银行 2.906 4.000 0.726 0.136 2.926 
HK001398 工商银行 3.938 4.739 0.831 0.180 3.074 
SH601169 北京银行 9.250 8.800 1.051 0.219 3.755 
HK003968 招商银行 15.354 14.259 1.077 0.223 3.817 
SH601398 工商银行 4.550 4.739 0.960 0.180 3.949 
SH601166 兴业银行 15.700 14.853 1.057 0.206 3.993 
SH600000 浦发银行 18.660 15.005 1.244 0.251 4.075 
SH601288 农业银行 3.120 3.410 0.915 0.158 4.128 
SH601009 南京银行 16.900 13.590 1.244 0.237 4.277 
SH601939 建设银行 5.680 5.574 1.019 0.180 4.306 
SH600036 招商银行 17.110 14.259 1.200 0.223 4.355 
SH601818 光大银行 4.240 4.287 0.989 0.169 4.358 
SH600016 民生银行 8.570 8.183 1.047 0.172 4.659 
SZ002142 宁波银行 13.970 10.206 1.369 0.240 4.677 
SH601328 交通银行 6.320 6.903 0.916 0.132 4.888 
SH601998 中信银行 7.120 6.450 1.104 0.175 4.906 
SH600015 华夏银行 11.210 10.684 1.049 0.157 5.090 
SZ000001 平安银行 11.750 11.235 1.046 0.150 5.284 
SH601988 中国银行 4.020 4.000 1.005 0.136 5.467 

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.078 6.452 0.632 0.175 1.451 
HK006818 光大银行 2.906 4.288 0.678 0.169 1.942 
HK003328 交通银行 4.582 6.905 0.664 0.132 2.287 
HK003618 重庆农商 3.806 5.001 0.761 0.184 2.486 
HK001288 农业银行 2.477 3.411 0.726 0.158 2.548 
HK001988 民生银行 6.183 8.186 0.755 0.172 2.599 
HK000939 建设银行 4.441 5.576 0.797 0.180 2.816 
HK003988 中国银行 2.889 4.001 0.722 0.136 2.878 
HK001398 工商银行 3.913 4.741 0.825 0.180 3.033 
HK003968 招商银行 15.321 14.266 1.074 0.223 3.804 
SH601169 北京银行 9.720 8.805 1.104 0.219 4.003 
SH601398 工商银行 4.600 4.741 0.970 0.180 4.012 
SH601166 兴业银行 16.130 14.860 1.085 0.206 4.135 
SH600000 浦发银行 19.220 15.014 1.280 0.251 4.205 
SH601288 农业银行 3.190 3.411 0.935 0.158 4.278 
SH601939 建设银行 5.810 5.576 1.042 0.180 4.441 
SH600036 招商银行 17.440 14.266 1.223 0.223 4.448 
SH601009 南京银行 17.550 13.597 1.291 0.237 4.451 
SH601818 光大银行 4.340 4.288 1.012 0.169 4.505 
SH600016 民生银行 8.740 8.186 1.068 0.172 4.780 
SZ002142 宁波银行 14.490 10.212 1.419 0.240 4.844 
SH601328 交通银行 6.500 6.905 0.941 0.132 5.113 
SH601998 中信银行 7.400 6.452 1.147 0.175 5.142 
SH600015 华夏银行 11.490 10.687 1.075 0.157 5.258 
SZ000001 平安银行 12.030 11.239 1.070 0.150 5.450 
SH601988 中国银行 4.080 4.001 1.020 0.136 5.581 

2015-12-04
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.094 6.458 0.634 0.175 1.471 
HK006818 光大银行 2.955 4.291 0.689 0.169 2.046 
HK003328 交通银行 4.507 6.909 0.652 0.132 2.150 
HK003618 重庆农商 3.740 5.005 0.747 0.184 2.378 
HK001288 农业银行 2.452 3.413 0.718 0.158 2.476 
HK001988 民生银行 6.150 8.191 0.751 0.172 2.562 
HK000939 建设银行 4.400 5.580 0.789 0.180 2.755 
HK003988 中国银行 2.856 4.004 0.713 0.136 2.783 
HK001398 工商银行 3.847 4.745 0.811 0.180 2.925 
HK003968 招商银行 14.776 14.279 1.035 0.223 3.619 
SH601169 北京银行 9.970 8.814 1.131 0.219 4.126 
SH600000 浦发银行 18.910 15.033 1.258 0.251 4.126 
SH601166 兴业银行 16.170 14.872 1.087 0.206 4.144 
SH601398 工商银行 4.730 4.745 0.997 0.180 4.176 
SH600036 招商银行 17.380 14.279 1.217 0.223 4.426 
SH601288 农业银行 3.300 3.413 0.967 0.158 4.506 
SH601009 南京银行 18.020 13.611 1.324 0.237 4.571 
SH601939 建设银行 5.950 5.580 1.066 0.180 4.581 
SH601818 光大银行 4.400 4.291 1.025 0.169 4.588 
SH600016 民生银行 8.810 8.191 1.076 0.172 4.826 
SZ002142 宁波银行 15.390 10.223 1.505 0.240 5.119 
SH600015 华夏银行 11.380 10.693 1.064 0.157 5.188 
SH601328 交通银行 6.680 6.909 0.967 0.132 5.330 
SH601998 中信银行 7.780 6.458 1.205 0.175 5.447 
SZ000001 平安银行 12.200 11.247 1.085 0.150 5.545 
SH601988 中国银行 4.200 4.004 1.049 0.136 5.803 

2015-12-07
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.135 6.465 0.639 0.175 1.5240 
HK006818 光大银行 2.977 4.295 0.693 0.169 2.0859 
HK003328 交通银行 4.548 6.914 0.658 0.132 2.2160 
HK003618 重庆农商 3.812 5.011 0.761 0.184 2.4844 
HK001288 农业银行 2.464 3.415 0.722 0.158 2.5056 
HK001988 民生银行 6.144 8.199 0.749 0.172 2.5491 
HK000939 建设银行 4.424 5.586 0.792 0.180 2.7820 
HK003988 中国银行 2.878 4.008 0.718 0.136 2.8341 
HK001398 工商银行 3.845 4.751 0.809 0.180 2.9145 
HK003968 招商银行 15.033 14.300 1.051 0.223 3.6972 
SH601398 工商银行 4.660 4.751 0.981 0.180 4.0777 
SH600000 浦发银行 18.900 15.061 1.255 0.251 4.1157 
SH601166 兴业银行 16.160 14.890 1.085 0.206 4.1342 
SH601169 北京银行 10.190 8.828 1.154 0.219 4.2285 
SH600036 招商银行 17.260 14.300 1.207 0.223 4.3844 
SH601288 农业银行 3.270 3.415 0.957 0.158 4.4386 
SH601939 建设银行 5.850 5.586 1.047 0.180 4.4719 
SH601009 南京银行 17.920 13.632 1.315 0.237 4.5373 
SH601818 光大银行 4.390 4.295 1.022 0.169 4.5675 
SH600016 民生银行 8.820 8.199 1.076 0.172 4.8273 
SZ002142 宁波银行 15.400 10.241 1.504 0.240 5.1141 
SH600015 华夏银行 11.290 10.702 1.055 0.157 5.1276 
SH601328 交通银行 6.580 6.914 0.952 0.132 5.2010 
SH601998 中信银行 7.650 6.465 1.183 0.175 5.3354 
SZ000001 平安银行 12.170 11.259 1.081 0.150 5.5196 
SH601988 中国银行 4.130 4.008 1.031 0.136 5.6635

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.091 6.468 0.633 0.175 1.4565 
HK006818 光大银行 2.890 4.296 0.673 0.169 1.8957 
HK003328 交通银行 4.472 6.916 0.647 0.132 2.0782 
HK003618 重庆农商 3.793 5.013 0.757 0.184 2.4528 
HK001288 农业银行 2.451 3.416 0.718 0.158 2.4686 
HK001988 民生银行 6.137 8.202 0.748 0.172 2.5399 
HK003988 中国银行 2.824 4.009 0.704 0.136 2.6847 
HK000939 建设银行 4.365 5.588 0.781 0.180 2.6982 
HK001398 工商银行 3.835 4.753 0.807 0.180 2.8953 
HK003968 招商银行 14.825 14.307 1.036 0.223 3.6254 
SH601398 工商银行 4.620 4.753 0.972 0.180 4.0229 
SH601169 北京银行 9.900 8.833 1.121 0.219 4.0799 
SH601166 兴业银行 16.130 14.896 1.083 0.206 4.1220 
SH601288 农业银行 3.210 3.416 0.940 0.158 4.3104 
SH601939 建设银行 5.750 5.588 1.029 0.180 4.3655 
SH600000 浦发银行 20.100 15.070 1.334 0.251 4.3882 
SH601818 光大银行 4.280 4.296 0.996 0.169 4.4033 
SH600036 招商银行 17.420 14.307 1.218 0.223 4.4280 
SH601009 南京银行 17.650 13.639 1.294 0.237 4.4637 
SH600016 民生银行 8.700 8.202 1.061 0.172 4.7389 
SH601328 交通银行 6.440 6.916 0.931 0.132 5.0250 
SH600015 华夏银行 11.190 10.705 1.045 0.157 5.0646 
SZ002142 宁波银行 15.250 10.247 1.488 0.240 5.0659 
SH601998 中信银行 7.460 6.468 1.153 0.175 5.1771 
SZ000001 平安银行 11.960 11.263 1.062 0.150 5.3924 
SH601988 中国银行 4.060 4.009 1.013 0.136 5.5271

2015-12-09
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.063 6.471 0.628 0.175 1.4103 
HK006818 光大银行 2.910 4.298 0.677 0.169 1.9370 
HK003328 交通银行 4.461 6.918 0.645 0.132 2.0548 
HK003618 重庆农商 3.731 5.015 0.744 0.184 2.3526 
HK001288 农业银行 2.438 3.417 0.713 0.158 2.4280 
HK001988 民生银行 6.119 8.205 0.746 0.172 2.5191 
HK003988 中国银行 2.802 4.010 0.699 0.136 2.6215 
HK000939 建设银行 4.361 5.589 0.780 0.180 2.6912 
HK001398 工商银行 3.806 4.755 0.800 0.180 2.8468 
HK003968 招商银行 14.775 14.314 1.032 0.223 3.6061 
SH601398 工商银行 4.660 4.755 0.980 0.180 4.0725 
SH601166 兴业银行 16.310 14.902 1.094 0.206 4.1790 
SH600000 浦发银行 19.400 15.079 1.287 0.251 4.2269 
SH601169 北京银行 10.390 8.838 1.176 0.219 4.3214 
SH601288 农业银行 3.240 3.417 0.948 0.158 4.3722 
SH600036 招商银行 17.470 14.314 1.221 0.223 4.4399 
SH601939 建设银行 5.840 5.589 1.045 0.180 4.4573 
SH601818 光大银行 4.320 4.298 1.005 0.169 4.4607 
SH601009 南京银行 17.930 13.646 1.314 0.237 4.5351 
SH600016 民生银行 8.760 8.205 1.068 0.172 4.7802 
SH601328 交通银行 6.510 6.918 0.941 0.132 5.1102 
SH600015 华夏银行 11.300 10.708 1.055 0.157 5.1298 
SZ002142 宁波银行 15.480 10.253 1.510 0.240 5.1328 
SH601998 中信银行 7.580 6.471 1.171 0.175 5.2735 
SZ000001 平安银行 12.070 11.267 1.071 0.150 5.4554 
SH601988 中国银行 4.090 4.010 1.020 0.136 5.5822

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.004 6.473 0.619 0.175 1.3180 
HK006818 光大银行 2.885 4.299 0.671 0.169 1.8794 
HK003328 交通银行 4.435 6.920 0.641 0.132 2.0064 
HK001288 农业银行 2.412 3.418 0.706 0.158 2.3554 
HK003618 重庆农商 3.755 5.017 0.749 0.184 2.3889 
HK001988 民生银行 6.060 8.207 0.738 0.172 2.4563 
HK003988 中国银行 2.769 4.012 0.690 0.136 2.5247 
HK000939 建设银行 4.303 5.591 0.769 0.180 2.6074 
HK001398 工商银行 3.772 4.757 0.793 0.180 2.7905 
HK003968 招商银行 14.690 14.320 1.026 0.223 3.5752 
SH601398 工商银行 4.610 4.757 0.969 0.180 4.0046 
SH601166 兴业银行 16.090 14.909 1.079 0.206 4.1044 
SH601169 北京银行 10.060 8.842 1.138 0.219 4.1556 
SH600000 浦发银行 19.270 15.089 1.277 0.251 4.1941 
SH601288 农业银行 3.230 3.418 0.945 0.158 4.3494 
SH600036 招商银行 17.260 14.320 1.205 0.223 4.3773 
SH601818 光大银行 4.270 4.299 0.993 0.169 4.3843 
SH601939 建设银行 5.780 5.591 1.034 0.180 4.3927 
SH601009 南京银行 17.610 13.653 1.290 0.237 4.4482 
SH600016 民生银行 8.700 8.207 1.060 0.172 4.7348 
SZ002142 宁波银行 14.910 10.259 1.453 0.240 4.9559 
SH600015 华夏银行 11.120 10.711 1.038 0.157 5.0176 
SH601328 交通银行 6.450 6.920 0.932 0.132 5.0331 
SH601998 中信银行 7.350 6.473 1.135 0.175 5.0801 
SZ000001 平安银行 11.960 11.271 1.061 0.150 5.3872 
SH601988 中国银行 4.070 4.012 1.015 0.136 5.5413

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.971 6.476 0.613 0.175 1.2639 
HK006818 光大银行 2.868 4.301 0.667 0.169 1.8405 
HK003328 交通银行 4.427 6.922 0.640 0.132 1.9891 
HK003618 重庆农商 3.656 5.018 0.728 0.184 2.2276 
HK001288 农业银行 2.412 3.419 0.706 0.158 2.3537 
HK001988 民生银行 5.985 8.210 0.729 0.172 2.3761 
HK003988 中国银行 2.761 4.013 0.688 0.136 2.4987 
HK000939 建设银行 4.286 5.593 0.766 0.180 2.5819 
HK001398 工商银行 3.755 4.759 0.789 0.180 2.7612 
HK003968 招商银行 14.590 14.327 1.018 0.223 3.5390 
SH601398 工商银行 4.590 4.759 0.964 0.180 3.9757 
SH600000 浦发银行 18.600 15.098 1.232 0.251 4.0331 
SH601166 兴业银行 15.950 14.915 1.069 0.206 4.0556 
SH601169 北京银行 10.150 8.847 1.147 0.219 4.1979 
SH600036 招商银行 16.920 14.327 1.181 0.223 4.2760 
SH601939 建设银行 5.710 5.593 1.021 0.180 4.3169 
SH601009 南京银行 17.180 13.660 1.258 0.237 4.3298 
SH601818 光大银行 4.240 4.301 0.986 0.169 4.3372 
SH601288 农业银行 3.230 3.419 0.945 0.158 4.3476 
SH600016 民生银行 8.710 8.210 1.061 0.172 4.7400 
SZ002142 宁波银行 14.640 10.264 1.426 0.240 4.8684 
SH600015 华夏银行 11.090 10.714 1.035 0.157 4.9971 
SH601998 中信银行 7.270 6.476 1.123 0.175 5.0098 
SH601328 交通银行 6.440 6.922 0.930 0.132 5.0184 
SZ000001 平安银行 11.830 11.275 1.049 0.150 5.3064 
SH601988 中国银行 4.040 4.013 1.007 0.136 5.4808 

2015-12-14
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.896 6.484 0.601 0.175 1.1390 
HK006818 光大银行 2.819 4.305 0.655 0.169 1.7226 
HK003328 交通银行 4.352 6.928 0.628 0.132 1.8451 
HK003618 重庆农商 3.573 5.024 0.711 0.184 2.0849 
HK001288 农业银行 2.371 3.421 0.693 0.158 2.2301 
HK001988 民生银行 5.869 8.218 0.714 0.172 2.2466 
HK003988 中国银行 2.744 4.017 0.683 0.136 2.4439 
HK000939 建设银行 4.228 5.599 0.755 0.180 2.4931 
HK001398 工商银行 3.697 4.765 0.776 0.180 2.6592 
HK003968 招商银行 14.226 14.348 0.992 0.223 3.4060 
SH600000 浦发银行 18.150 15.126 1.200 0.251 3.9153 
SH601398 工商银行 4.610 4.765 0.967 0.180 3.9942 
SH601166 兴业银行 16.090 14.933 1.077 0.206 4.0956 
SH600036 招商银行 16.670 14.348 1.162 0.223 4.1948 
SH601169 北京银行 10.200 8.861 1.151 0.219 4.2147 
SH601939 建设银行 5.730 5.599 1.023 0.180 4.3318 
SH601818 光大银行 4.260 4.305 0.990 0.169 4.3611 
SH601009 南京银行 17.400 13.680 1.272 0.237 4.3823 
SH601288 农业银行 3.260 3.421 0.953 0.158 4.4056 
SH600016 民生银行 8.700 8.218 1.059 0.172 4.7266 
SZ002142 宁波银行 14.860 10.282 1.445 0.240 4.9297 
SH601998 中信银行 7.320 6.484 1.129 0.175 5.0448 
SH600015 华夏银行 11.210 10.723 1.045 0.157 5.0652 
SH601328 交通银行 6.540 6.928 0.944 0.132 5.1363 
SZ000001 平安银行 11.840 11.288 1.049 0.150 5.3047 
SH601988 中国银行 4.040 4.017 1.006 0.136 5.4732 


代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.970 6.486 0.612 0.175 1.2523 
HK006818 光大银行 2.852 4.306 0.662 0.169 1.7965 
HK003328 交通银行 4.379 6.930 0.632 0.132 1.8915 
HK003618 重庆农商 3.645 5.026 0.725 0.184 2.2000 
HK001288 农业银行 2.394 3.422 0.699 0.158 2.2933 
HK001988 民生银行 5.980 8.221 0.727 0.172 2.3620 
HK003988 中国银行 2.777 4.018 0.691 0.136 2.5356 
HK000939 建设银行 4.303 5.601 0.768 0.180 2.5981 
HK001398 工商银行 3.728 4.767 0.782 0.180 2.7065 
HK003968 招商银行 14.612 14.354 1.018 0.223 3.5368 
SH600000 浦发银行 18.310 15.135 1.210 0.249 3.9701 
SH601398 工商银行 4.600 4.767 0.965 0.180 3.9785 
SH601166 兴业银行 16.080 14.939 1.076 0.206 4.0901 
SH601169 北京银行 10.160 8.866 1.146 0.219 4.1922 
SH600036 招商银行 17.030 14.354 1.186 0.223 4.2988 
SH601818 光大银行 4.230 4.306 0.982 0.169 4.3139 
SH601939 建设银行 5.740 5.601 1.025 0.180 4.3402 
SH601009 南京银行 17.320 13.687 1.265 0.237 4.3583 
SH601288 农业银行 3.240 3.422 0.947 0.158 4.3619 
SH600016 民生银行 8.690 8.221 1.057 0.172 4.7173 
SZ002142 宁波银行 14.990 10.288 1.457 0.240 4.9675 
SH601998 中信银行 7.310 6.486 1.127 0.175 5.0338 
SH600015 华夏银行 11.210 10.726 1.045 0.157 5.0633 
SH601328 交通银行 6.560 6.930 0.947 0.132 5.1588 
SZ000001 平安银行 11.920 11.292 1.056 0.150 5.3503 
SH601988 中国银行 4.040 4.018 1.005 0.136 5.4706 

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.053 6.489 0.625 0.175 1.3786 
HK006818 光大银行 2.911 4.308 0.676 0.169 1.9238 
HK003328 交通银行 4.479 6.931 0.646 0.132 2.0720 
HK003618 重庆农商 3.761 5.028 0.748 0.184 2.3844 
HK001288 农业银行 2.427 3.423 0.709 0.158 2.3862 
HK001988 民生银行 6.097 8.224 0.741 0.172 2.4818 
HK000939 建设银行 4.379 5.603 0.781 0.180 2.7006 
HK003988 中国银行 2.852 4.019 0.710 0.136 2.7419 
HK001398 工商银行 3.828 4.769 0.803 0.180 2.8643 
HK003968 招商银行 14.795 14.361 1.030 0.223 3.5965 
SH600000 浦发银行 18.180 15.144 1.200 0.249 3.9353 
SH601398 工商银行 4.590 4.769 0.962 0.180 3.9627 
SH601166 兴业银行 16.100 14.945 1.077 0.206 4.0946 
SH601169 北京银行 10.030 8.871 1.131 0.219 4.1245 
SH600036 招商银行 16.960 14.361 1.181 0.223 4.2759 
SH601818 光大银行 4.240 4.308 0.984 0.169 4.3269 
SH601939 建设银行 5.740 5.603 1.024 0.180 4.3381 
SH601288 农业银行 3.240 3.423 0.947 0.158 4.3602 
SH601009 南京银行 17.370 13.694 1.268 0.237 4.3694 
SH600016 民生银行 8.670 8.224 1.054 0.172 4.7007 
SZ002142 宁波银行 14.910 10.294 1.448 0.240 4.9400 
SH601998 中信银行 7.260 6.489 1.119 0.175 4.9888 
SH600015 华夏银行 11.180 10.729 1.042 0.157 5.0430 
SH601328 交通银行 6.510 6.931 0.939 0.132 5.0947 
SZ000001 平安银行 11.890 11.296 1.053 0.150 5.3297 
SH601988 中国银行 4.040 4.019 1.005 0.136 5.4681


代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.078 6.492 0.628 0.175 1.4142 
HK006818 光大银行 2.994 4.309 0.695 0.169 2.1023 
HK003328 交通银行 4.504 6.933 0.650 0.132 2.1148 
HK003618 重庆农商 3.870 5.030 0.769 0.184 2.5503 
HK001988 民生银行 6.180 8.226 0.751 0.172 2.5654 
HK001288 农业银行 2.552 3.424 0.745 0.158 2.7278 
HK000939 建设银行 4.429 5.605 0.790 0.180 2.7672 
HK003988 中国银行 2.886 4.021 0.718 0.136 2.8305 
HK001398 工商银行 3.895 4.771 0.816 0.180 2.9662 
HK003968 招商银行 15.012 14.368 1.045 0.223 3.6666 
SH601398 工商银行 4.620 4.771 0.968 0.180 3.9995 
SH600000 浦发银行 18.490 15.154 1.220 0.249 4.0085 
SH601166 兴业银行 16.180 14.952 1.082 0.206 4.1188 
SH601169 北京银行 10.170 8.875 1.146 0.219 4.1919 
SH600036 招商银行 17.100 14.368 1.190 0.223 4.3145 
SH601818 光大银行 4.270 4.309 0.991 0.169 4.3699 
SH601939 建设银行 5.780 5.605 1.031 0.180 4.3780 
SH601288 农业银行 3.270 3.424 0.955 0.158 4.4214 
SH601009 南京银行 17.600 13.701 1.285 0.237 4.4288 
SH600016 民生银行 8.740 8.226 1.062 0.172 4.7493 
SZ002142 宁波银行 15.270 10.300 1.483 0.240 5.0482 
SH600015 华夏银行 11.280 10.732 1.051 0.157 5.1022 
SH601998 中信银行 7.440 6.492 1.146 0.175 5.1380 
SH601328 交通银行 6.570 6.933 0.948 0.132 5.1667 
SZ000001 平安银行 12.070 11.300 1.068 0.150 5.4347 
SH601988 中国银行 4.070 4.021 1.012 0.136 5.5235

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.157 6.494 0.640 0.175 1.5307 
HK006818 光大银行 3.011 4.310 0.699 0.169 2.1371 
HK003328 交通银行 4.534 6.935 0.654 0.132 2.1667 
